統一編號: ,公司名稱: ,公司地址: ,資本額總額: ,核准設立日期: ,最後核准變更日期: ,公司狀態: ,代表人/創辦人/員工: ,industry0,industry1,,登記種類: ,登記機關名稱: ,category1,category2,category3,category4,category5,category6,category7,category8,category9,category10
24798272,摩曼頓企業股份有限公司基隆愛四二店分公司,基隆市仁愛區愛四路47號1樓,0,2015-09-10,2015-12-02,廢止,林政男,登記種類: ,公司登記,,,,,,,,,,,,,
24799878,摩曼頓企業股份有限公司基隆愛四三店分公司,基隆市仁愛區愛四路68號1樓、B1,0,2015-10-13,,核准設立,林政男,營業人名稱: ,摩曼頓企業股份有限公司基隆愛四三店分公司,,公司登記,,,,,,,,,,,
24806028,統一超商股份有限公司基隆市第九十一分公司,基隆市仁愛區仁三路66號1樓、愛二路54巷10號1樓,0,2016-01-21,,核准設立,張耀銘,營業人名稱: ,統一超商股份有限公司基隆市第九十一分公司,,公司登記,,,,,,,,,,,
28176697,地球村出版有限公司基隆分公司,基隆市仁愛區愛三路１１８號７樓,0,2006-04-21,,核准設立,鄧秋慧,營業人名稱: ,地球村出版有限公司基隆分公司,,公司登記,,,,,,,,,,,
28984229,全聯實業股份有限公司基隆仁三分公司,基隆市仁愛區忠勇里仁三路11號1樓,0,2009-09-29,,核准設立,胡愛美,營業人名稱: ,全聯實業股份有限公司基隆仁三分公司,,公司登記,,,,,,,,,,,
28995491,全家便利商店股份有限公司基隆仁四分公司,基隆市仁愛區仁四路52號1樓,0,2010-05-14,2017-02-16,核准設立,葉榮廷,登記種類: ,公司登記,,,,,,,,,,,,,
42841363,囍事國際有限公司基隆一分公司,基隆市仁愛區愛三路78號2樓,0,2016-01-12,,廢止,楊智淵,營業人名稱: ,囍事國際有限公司基隆一分公司,,公司登記,,,,,,,,,,,
51702709,全家便利商店股份有限公司基隆市第一二二分公司,基隆市仁愛區博愛里仁三路59號1樓及愛二路50號1樓,0,2018-03-27,,核准設立,葉榮廷,營業人名稱: ,全家便利商店股份有限公司基隆市第一二二分公司,,公司登記,,,,,,,,,,,
52907125,加州椰子國際股份有限公司基隆一分公司,基隆市仁愛區愛三路78號2樓,0,2017-08-16,,核准設立,闕怡瑩,營業人名稱: ,加州椰子國際股份有限公司基隆一分公司,,公司登記,,,,,,,,,,,
54370438,三商家購股份有限公司基隆愛九二分公司,基隆市仁愛區愛九路11號,0,2015-01-27,2017-08-14,核准設立,邱光隆,登記種類: ,公司登記,,,,,,,,,,,,,
80548403,主富服裝股份有限公司基隆二店分公司,基隆市仁愛區愛三路１１８號１至３樓,0,2003-12-03,2013-04-17,廢止,黃文貞,登記種類: ,公司登記,,,,,,,,,,,,,
00260103,保証責任基隆市第一信用合作社愛三路分社,基隆市仁愛區愛三路七號,4391176,1968-04-22,1986-10-23,核准設立 - 00,,黃澤青,登記種類: ,,,基隆市政府,商業登記,,,,,,,,,
00814012,仁隆糖果行,基隆市仁愛區愛二路二Ｏ號,3000,1980-01-16,1980-01-16,核准設立 - 獨資,,陳黃美雲,登記種類: ,,,基隆市政府,商業登記,,,,,,,,,
13087774,主富服裝股份有限公司基隆一店分公司,基隆市仁愛區仁五路１２號１樓,0,2002-02-18,2013-04-17,廢止,黃文貞,登記種類: ,公司登記,,,,,,,,,,,,,
24427531,尚群電氣有限公司基隆分公司,基隆市仁愛區仁德里仁三路88號1樓,0,2009-06-19,,廢止,張傳煌,營業人名稱: ,尚群電氣有限公司基隆分公司,,公司登記,,,,,,,,,,,
24814110,燦坤實業股份有限公司基隆仁二分公司,基隆市仁愛區仁二路201號1樓、2樓,0,2018-10-29,,核准設立,閻俊傑,營業人名稱: ,燦坤實業股份有限公司基隆仁二分公司,,公司登記,,,,,,,,,,,
27935566,全家便利商店股份有限公司基隆廟口分公司,基隆市仁愛區仁德里仁三路33號1樓,0,2006-03-06,2017-02-16,核准設立,葉榮廷,登記種類: ,公司登記,,,,,,,,,,,,,
42646404,統一生活事業股份有限公司基隆市第9分公司,基隆市仁愛區愛四路78、78之1號、仁二路212巷17之1、17之3號,0,2015-09-25,,核准設立,林憲杰,營業人名稱: ,統一生活事業股份有限公司基隆市第9分公司,,公司登記,,,,,,,,,,,
42651341,何嘉仁實業股份有限公司基隆仁一分公司,基隆市仁愛區仁一路299號(1-2樓),0,2015-10-14,,核准設立,朱慧芬,營業人名稱: ,何嘉仁實業股份有限公司基隆仁一分公司,,公司登記,,,,,,,,,,,
43943070,羅賓昇國際聯運股份有限公司基隆分公司,基隆市仁愛區仁五路8號12樓之2,0,2016-07-13,2018-03-26,核准設立,,代表人/創辦人/員工: ,鄭樹人,,,,,,,,,,,,,
53955709,開穩有限公司基隆分公司,基隆市仁愛區愛二路2-3號1樓,0,2012-12-04,,核准設立,陳韋光,營業人名稱: ,開穩有限公司基隆分公司,,公司登記,,,,,,,,,,,
54698840,皇宇科技股份有限公司基隆仁二分公司,基隆市仁愛區仁二路234號(1樓),0,2014-02-20,,廢止,張新強,營業人名稱: ,皇宇科技股份有限公司基隆仁二分公司,,公司登記,,,,,,,,,,,
70790288,安心食品服務股份有限公司基隆仁二分公司,基隆市仁愛區仁二路216號1、2樓,0,2000-11-10,2014-03-19,核准設立,施啟寅,登記種類: ,公司登記,,,,,,,,,,,,,
97178002,凱基證券股份有限公司基隆分公司,基隆市仁愛區仁一路259號3-4樓,0,1997-03-20,2017-11-13,核准設立,,代表人/創辦人/員工: ,張豐壹,,,經濟部商業司,,,,,,,,,,
00199059,基隆市第二信用合作社儲蓄部,基隆市仁愛區愛三路四一號,4233196,1971-09-16,1972-11-06,核准設立 - 00,,謝修平,登記種類: ,,,基隆市政府,商業登記,,,,,,,,,
00311406,華南商業銀行股份有限公司基隆分公司,基隆市仁愛區仁一路305號,0,1950-07-01,2019-01-23,核准設立,陳書達,登記種類: ,公司登記,,,,,,,,,,,,,
00403003,彰化商業銀行股份有限公司基隆分公司,基隆市仁愛區愛四路60號1樓、2樓、3樓,0,1995-12-01,2015-06-12,核准設立,陳德和,登記種類: ,公司登記,,,,,,,,,,,,,
09677377,基隆廟口金興蔴粩商號,基隆市仁愛區仁二路167巷9號2樓,100000,2006-05-08,2011-10-07,核准設立 - 獨資,,使用統一發票: ,是,,,基隆市政府,陳莉麗,登記種類: ,商業登記,營業人名稱: ,基隆廟口金興蔴󿿁商號,統一編號: ,09677377,營業地址: ,基隆市仁愛區忠勇里仁二路１６７巷９號２樓,資本額(元): 
09986084,基隆育樂城電子遊戲場業,基隆市仁愛區水錦里仁一路２１７巷２號３樓,200000,2007-06-25,2018-12-22,核准設立 - 獨資 (核准文號: 1070002664),,登記種類: ,商業登記,,,基隆市政府,謝一德,營業人名稱: ,,,,,,,,
16843822,元富證券股份有限公司基隆分公司,基隆市仁愛區愛四路60號4、5樓,0,1999-05-14,2017-11-09,核准設立,張勻惠,登記種類: ,公司登記,,,,,,,,,,,,,
22817365,萬海航運股份有限公司基隆分公司,基隆市仁愛區仁二路255號7樓,0,1988-01-28,2013-08-08,核准設立,陳柏廷,登記種類: ,公司登記,,,,,,,,,,,,,
24774068,義美股份有限公司基隆之分公司,基隆市仁愛區仁二路201之1號1樓,0,2014-12-04,,核准設立,高志尚,營業人名稱: ,義美股份有限公司基隆之分公司,,公司登記,,,,,,,,,,,
24809947,主富服裝股份有限公司基隆三店分公司,基隆市仁愛區仁二路236號,0,2016-04-14,,核准設立,黃文貞,營業人名稱: ,主富服裝股份有限公司基隆三店分公司,,公司登記,,,,,,,,,,,
24814300,統一生活事業股份有限公司基隆市第十一分公司,基隆市仁愛區愛三路118號1樓、2樓,0,2018-11-02,,核准設立,賴美娟,營業人名稱: ,統一生活事業股份有限公司基隆市第十一分公司,,公司登記,,,,,,,,,,,
27944636,龍巖股份有限公司基隆分公司,基隆市仁愛區仁一路105號,0,2006-08-21,2017-04-18,核准設立,郭學君,登記種類: ,公司登記,,,,,,,,,,,,,
27945396,富利餐飲股份有限公司基隆仁一分公司,基隆市仁愛區劉銘傳路1號、1之1號,0,2006-09-05,2018-12-07,核准設立,謝宜芳,登記種類: ,公司登記,,,,,,,,,,,,,
27950171,三商行股份有限公司基隆第二分公司,基隆市仁愛區仁二路249號1樓,0,2015-01-27,,核准設立,沈國政,營業人名稱: ,三商行股份有限公司基隆第二分公司,,公司登記,,,,,,,,,,,
28413615,統一超商股份有限公司基隆市第六十六分公司,基隆市仁愛區愛二路65號1樓,0,2007-04-18,,核准設立,林啟昌,營業人名稱: ,統一超商股份有限公司基隆市第六十六分公司,,公司登記,,,,,,,,,,,
29051127,爭鮮股份有限公司定食基隆分公司,基隆市仁愛區仁二路217號2樓,0,2008-08-07,,廢止,孫榮謙,營業人名稱: ,爭鮮股份有限公司定食基隆分公司,,公司登記,,,,,,,,,,,
42157600,基隆艋舺雞排店,基隆市仁愛區愛四路6號1樓,10000,2015-12-16,2015-12-16,核准設立 - 獨資 (核准文號: 1040002822),,登記種類: ,商業登記,,,基隆市政府,江雅芳,營業人名稱: ,,,,,,,,
42161576,基隆三歐手工鞋店,基隆市仁愛區仁二路234號1樓,240000,2016-06-16,2016-06-17,核准設立 - 獨資 (核准文號: 1050001237),,統一編號: ,42161576,,,基隆市政府,江清祥,登記種類: ,商業登記,營業人名稱: ,基隆三歐手工鞋店,資本額(元): ,,,,
42655331,和昌商旅股份有限公司基隆分公司,基隆市仁愛區仁三路24號5樓之1,0,2015-10-26,,核准設立,蔣士壯,營業人名稱: ,和昌商旅股份有限公司基隆分公司,,公司登記,,,,,,,,,,,
42830534,嘉穗創意食品股份有限公司基隆分公司,基隆市仁愛區仁一路299號1樓,0,2015-12-07,,核准設立,黃俊賢,營業人名稱: ,嘉穗創意食品股份有限公司基隆分公司,,公司登記,,,,,,,,,,,
42866531,彩琿實業有限公司基隆分公司,基隆市仁愛區愛四路82號,0,2016-07-29,2018-04-11,核准設立,蔡幸兒,登記種類: ,公司登記,,,,,,,,,,,,,
45904093,活力金饌有限公司基隆分公司,基隆市仁愛區仁一路163巷13號,0,2016-04-11,,核准設立,高詩涵,營業人名稱: ,活力金饌有限公司基隆分公司,,公司登記,,,,,,,,,,,
50582332,基隆八斗子漁港小卷商行,基隆市仁愛區愛四路28巷6號3樓,24000,2016-09-02,2017-11-21,核准設立 - 獨資 (核准文號: 1060002407),,營業人名稱: ,基隆八斗子漁港小卷商行,,,基隆市政府,徐正泰,登記種類: ,商業登記,營業地址: ,,,,,,
51415100,康福旅行社股份有限公司基隆分公司,基隆市仁愛區仁一路295之18號,0,2017-05-18,,核准設立,陳菁惠,營業人名稱: ,康福旅行社股份有限公司基隆分公司,,公司登記,,,,,,,,,,,
51446429,寶雅國際股份有限公司基隆東岸分公司,基隆市仁愛區仁二路236號1樓,0,2017-06-30,,核准設立,陳宗成,營業人名稱: ,寶雅國際股份有限公司基隆東岸分公司,,公司登記,,,,,,,,,,,
53008945,群益金鼎證券股份有限公司基隆分公司,基隆市仁愛區仁二路255號8樓,0,2011-03-31,2016-06-21,核准設立,陳至善,登記種類: ,公司登記,,,,,,,,,,,,,
53010800,台北富邦商業銀行股份有限公司基隆分公司,基隆市仁愛區仁一路277、277-1、279號及277號2樓之6,0,2011-05-05,2018-11-15,核准設立,張瑜芳,登記種類: ,公司登記,,,,,,,,,,,,,
53021497,合作金庫證券股份有限公司基隆分公司,基隆市仁愛區仁二路255號3樓,0,2011-12-02,2015-05-22,核准設立,李紀緯,登記種類: ,公司登記,,,,,,,,,,,,,
53339023,旅行者股份有限公司基隆分公司,基隆市仁愛區仁三路45號1樓,0,2011-05-18,,核准設立,彭民雄,營業人名稱: ,旅行者股份有限公司基隆分公司,,公司登記,,,,,,,,,,,
53920104,愛維思股份有限公司基隆分公司,基隆市仁愛區忠二路16號,0,2012-08-06,2017-03-08,撤銷,李佳霖,登記種類: ,公司登記,,,,,,,,,,,,,
54173669,中天眼鏡股份有限公司基隆分公司,基隆市仁愛區仁一路91號(1樓),0,2013-03-20,,核准設立,梁立德,營業人名稱: ,中天眼鏡股份有限公司基隆分公司,,公司登記,,,,,,,,,,,
54381131,雄獅旅行社股份有限公司基隆分公司,基隆市仁愛區仁二路253號1樓,0,2014-04-18,,核准設立,謝瑜,營業人名稱: ,雄獅旅行社股份有限公司基隆分公司,,公司登記,,,,,,,,,,,
54388774,統一超商股份有限公司基隆市第八十五分公司,基隆市仁愛區仁四路60、62號1樓,0,2014-08-27,,核准設立,張耀銘,營業人名稱: ,統一超商股份有限公司基隆市第八十五分公司,,公司登記,,,,,,,,,,,
54957803,旭漾實業有限公司基隆分公司,基隆市仁愛區仁三路43號2樓、45號2樓,0,2018-11-12,,核准設立,蔡雅慧,營業人名稱: ,旭漾實業有限公司基隆分公司,,公司登記,,,,,,,,,,,
55699281,恩戴適股份有限公司基隆東岸分公司,基隆市仁愛區仁二路236號1樓,0,2017-11-13,,核准設立,濵地美紗,營業人名稱: ,恩戴適股份有限公司基隆東岸分公司,,公司登記,,,,,,,,,,,
55850384,台灣東利多股份有限公司基隆第一分公司,基隆市仁愛區仁二路236號,0,2018-01-31,,核准設立,粟田貴也,營業人名稱: ,台灣東利多股份有限公司基隆第一分公司,,公司登記,,,,,,,,,,,
61831386,港都國際旅行社有限公司基隆分公司,基隆市仁愛區仁一路187號2樓,0,2017-06-30,2017-06-19,核准設立,吳福東,登記種類: ,公司登記,,,,,,,,,,,,,
70776883,拿帕里股份有限公司基隆分公司,基隆市仁愛區仁二路163號,0,2000-06-23,2016-02-16,核准設立,林明宏,登記種類: ,公司登記,,,,,,,,,,,,,
70797493,合作金庫商業銀行股份有限公司基隆分公司,基隆市仁愛區仁二路255號,0,2001-01-01,2018-12-10,核准設立,張富強,登記種類: ,公司登記,,,,,,,,,,,,,
70814845,臺灣新光商業銀行股份有限公司基隆分公司,基隆市仁愛區仁一路259號1、2樓,0,2001-08-10,2019-01-17,核准設立,鄧文雄,登記種類: ,公司登記,,,,,,,,,,,,,
70814900,台灣新光保全股份有限公司基隆分公司,基隆市仁愛區仁一路259號5樓,0,2001-08-09,2010-03-16,核准設立,黃春明,登記種類: ,公司登記,,,,,,,,,,,,,
70828355,爭鮮股份有限公司基隆分公司,基隆市仁愛區仁三路５０號２樓,0,2000-07-25,,核准設立,劉桂照,營業人名稱: ,爭鮮股份有限公司基隆分公司,,公司登記,,,,,,,,,,,
72638887,基隆大陸餅店,基隆市仁愛區仁二路42號1樓,100000,2017-09-26,2019-10-03,核准設立 - 獨資 (核准文號: 1080002120),,營業人名稱: ,基隆大陸餅店,,,基隆市政府,陳建國,登記種類: ,商業登記,統一編號: ,,,,,,
74836595,阿隆檳榔店,基隆市仁愛區仁德里愛三路五七號一樓,2000,1999-10-08,1999-10-08,核准設立 - 獨資,,登記種類: ,商業登記,,,基隆市政府,柯晴隆,營業人名稱: ,,,,,,,,
80541099,富利餐飲股份有限公司基隆外送分公司,基隆市仁愛區仁一路93號,0,2003-11-12,2019-01-14,核准設立,許明怡,登記種類: ,公司登記,,,,,,,,,,,,,
84307124,統一綜合證券股份有限公司基隆分公司,基隆市仁愛區仁三路11號2樓,0,1993-06-21,2013-04-02,核准設立,黃明發,登記種類: ,公司登記,,,,,,,,,,,,,
86810182,普威實業股份有限公司基隆分公司,基隆市仁愛區仁二路218號1樓,0,1992-07-30,2014-04-28,核准設立,黃漢成,登記種類: ,公司登記,,,,,,,,,,,,,
00175508,東隆商行,基隆市仁愛區愛三路七三號二樓,3000,1955-07-15,1992-11-14,核准設立 - 獨資,,謝林月裡,登記種類: ,,,基隆市政府,商業登記,,,,,,,,,
00331108,隆裕行,基隆市仁愛區愛二路59號1樓,10000,1963-10-29,2014-09-29,核准設立 - 獨資 (核准文號: 1030002141),,郭亶岳,登記種類: ,,,基隆市政府,基隆市仁愛區仁德里愛二路５９號,,,,,,,,,
00423107,台灣電力公司基隆區營業處,基隆市仁愛區仁一路三Ｏ一號,0,1968-02-16,1992-06-12,核准設立,,蔡元和,登記種類: ,,,基隆市政府,商業登記,,,,,,,,,
00659779,新光人壽保險股份有限公司基隆巿分公司,基隆市仁愛區仁一路259號5樓至11樓,0,1974-01-29,2017-03-13,核准設立,李偉勛,登記種類: ,公司登記,,,,,,,,,,,,,
00664674,保證責任基隆市第一信用合作社儲蓄部,基隆市仁愛區仁一路一五七號,4391400,1974-11-27,1992-07-23,核准設立 - 00,,黃澤青,登記種類: ,,,基隆市政府,商業登記,,,,,,,,,
00669256,穩隆企業股份有限公司,基隆市仁愛區愛三路49巷18號,1000000,1975-05-21,2019-06-24,,,代表人/創辦人/員工: ,林朝宗,,,經濟部中部辦公室,核准設立,營業人名稱: ,,,,,,,,
00679326,驊洲隆昌股份有限公司,"基隆市仁愛區愛三路87號6樓之11,12,13,14",5000000,1975-10-15,2020-01-13,,,基隆市仁愛區仁德里愛三路８７號６樓之１１、１２、１３、１４,使用統一發票: ,國際貿易業,,經濟部中部辦公室,核准設立,代表人/創辦人/員工: ,黃惠珍,登記種類: ,公司登記,營業人名稱: ,驊洲隆昌股份有限公司,統一編號: ,00679326,營業地址: 
00838295,隆昇果菜行,基隆市仁愛區仁愛市場第269號攤位,20000,1981-12-05,1983-11-30,核准設立 - 獨資,,林志隆,登記種類: ,,,基隆市政府,隆昇果菜行,,,,,,,,,
00847962,基隆體育用品社,基隆市仁愛區新店里忠二路29號1樓,450000,1982-10-08,2014-12-30,核准設立 - 合夥 (核准文號: 1030003160),,是,設立日期: ,文教、樂器、育樂用品零售業,,基隆市政府,簡宗仁,登記種類: ,商業登記,營業人名稱: ,基隆體育用品社,統一編號: ,00847962,營業地址: ,基隆市仁愛區新店里忠二路２９號１樓,使用統一發票: 
00919542,三商行股份有限公司基隆門市部,基隆市仁愛區愛四路六二號及六四號地下樓,802000000,1988-12-12,2003-12-24,核准設立,,毛明宇,登記種類: ,,,基隆市政府,商業登記,,,,,,,,,
12834007,新基山國際企業有限公司,基隆市仁愛區愛三路72號1樓,1000000,2001-07-10,2016-06-13,核准設立,,營業地址: ,基隆市仁愛區仁德里愛三路７２號１樓,,,經濟部中部辦公室,朱慶國,登記種類: ,公司登記,營業人名稱: ,新基山國際企業有限公司,統一編號: ,12834007,資本額(元): ,,
16438443,統一超商股份有限公司基隆巿第25分公司,基隆市仁愛區仁五路六十三號１樓,0,1998-02-20,1998-02-20,核准設立,陳瑞堂,登記種類: ,公司登記,,,,,,,,,,,,,
18308570,鎖大夫行仁愛分店,基隆市仁愛區和明里愛五路12號1樓,45000,2001-10-16,2019-02-13,廢止,,代表人/創辦人/員工: ,吳O忠,,,基隆市政府,,,,,,,,,,
22654600,康迅企業有限公司基隆分公司,基隆市仁愛區孝三路37號3樓,0,1995-01-10,2015-08-07,核准設立,蕭仁德,登記種類: ,公司登記,,,,,,,,,,,,,
30252262,隆華電器行,基隆市仁愛區愛三路40號,200000,2009-05-05,2019-07-05,核准設立 - 獨資 (核准文號: 1080001477),,登記種類: ,商業登記,,,基隆市政府,陳蕭靜華,營業人名稱: ,,,,,,,,
43086098,台灣屈臣氏個人用品商店股份有限公司仁三分公司,基隆市仁愛區仁三路68號1樓及愛二路54巷8號1樓,0,2016-05-09,,核准設立,林素芬,營業人名稱: ,台灣屈臣氏個人用品商店股份有限公司仁三分公司,,公司登記,,,,,,,,,,,
53275267,基山國際鐘錶企業有限公司,基隆市仁愛區愛三路90號1樓,5000000,2010-12-09,2016-06-04,核准設立,,是,設立日期: ,布疋、衣著、鞋、帽、傘、服飾品批發業,,經濟部中部辦公室,朱慶國,登記種類: ,公司登記,營業人名稱: ,基山國際鐘錶企業有限公司,統一編號: ,53275267,營業地址: ,基隆市仁愛區仁德里愛三路９０號１樓,使用統一發票: 
53657259,三商家購股份有限公司基隆南榮分公司,基隆市仁愛區南榮路211號,0,2015-01-27,2017-08-10,核准設立,邱光隆,登記種類: ,公司登記,,,,,,,,,,,,,
54387677,全家便利商店股份有限公司基隆市第一O七分公司,基隆市仁愛區愛四路56號1樓,0,2014-08-11,2017-02-16,核准設立,葉榮廷,登記種類: ,公司登記,,,,,,,,,,,,,
54520703,俊愛眼鏡有限公司,基隆市仁愛區愛三路87號1樓,500000,2013-09-04,2019-09-10,核准設立,,是,設立日期: ,眼鏡零售業,,經濟部中部辦公室,沈隆榮,登記種類: ,公司登記,營業人名稱: ,俊愛眼鏡有限公司,統一編號: ,54520703,營業地址: ,基隆市仁愛區仁德里愛三路８７號１樓,使用統一發票: 
72827347,小白鴿娃娃屋仁愛店,基隆市仁愛區仁四路17號1樓,200000,2018-11-09,,核准設立 - 獨資組織分支機構 (核准文號: 1070002301),白文炳,登記種類: ,商業登記,,,基隆市政府,,,,,,,,,,
82222368,仁愛一佰元服飾店,基隆市仁愛區仁四路41號,100000,2019-07-02,,核准設立 - 獨資 (核准文號: 1080001445),李易騰,營業人名稱: ,仁愛一佰元服飾店,,,基隆市政府,商業登記,統一編號: ,,,,,,,,
83528818,萬可隆國際有限公司,基隆市仁愛區愛一路60-2號3樓,3000000,2019-12-06,,核准設立,黃香美,3000000, 菸酒批發業 ,,公司登記,,萬可隆國際有限公司,統一編號: ,83528818,營業地址: ,基隆市仁愛區仁德里愛一路６０―２號３樓,使用統一發票: ,是,設立日期: ,2019-12-10,資本額(元): 
84702672,兆豐國際商業銀行股份有限公司基隆分公司,基隆市仁愛區誠仁里南榮路24、26、28號1、2樓,0,1993-11-10,2018-05-10,核准設立,葉春有,登記種類: ,公司登記,,,,,,,,,,,,,
85271524,仁愛鴨肉飯館,基隆市仁愛區仁四路55號1樓,50000,2019-08-15,,核准設立 - 獨資 (核准文號: 1080001787),鄭雅芬,統一編號: ,85271524,,,基隆市政府,商業登記,營業人名稱: ,仁愛鴨肉飯館,營業地址: ,,,,,,
86691622,郭元益食品股份有限公司基隆分公司,基隆市仁愛區基隆巿孝二路57號1樓,0,1992-08-17,2018-07-20,核准設立,郭建偉,登記種類: ,公司登記,,,,,,,,,,,,,
00087131,永隆西藥房,基隆市仁愛區仁三路二五號之一一樓,20000,1972-09-15,2015-01-08,核准設立 - 獨資 (核准文號: 1040000053),,統一編號: ,00087131,,,基隆市政府,蘇寶隆,登記種類: ,商業登記,營業人名稱: ,永隆西葯房,營業地址: ,,,,
00089807,永隆切麵店,基隆市仁愛區愛一路八九號,3000,1961-08-15,2014-09-16,核准設立 - 獨資 (核准文號: 1030002003),,登記種類: ,商業登記,,,基隆市政府,陳鉦威,營業人名稱: ,,,,,,,,
00181804,炎隆鐵工廠有限公司,基隆市仁愛區愛四路10巷2號,3000000,1967-01-07,2007-12-31,核准設立,,是,設立日期: ,保溫、保冷安裝工程業,,經濟部中部辦公室,蔡豪傑,登記種類: ,公司登記,營業人名稱: ,炎隆鐵工廠有限公司,統一編號: ,00181804,營業地址: ,基隆市仁愛區玉田里愛四路１０巷２號,使用統一發票: 
00270708,基益壁紙裝潢行,基隆市仁愛區愛五路七號一樓,48000,1965-04-22,1993-08-17,核准設立 - 獨資,,簡嘉祥,登記種類: ,,,基隆市政府,00270708,,,,,,,,,
00299705,隆成商行,基隆市仁愛區愛一路一七巷一Ｏ號,81000,1954-03-15,1983-08-23,核准設立 - 獨資,,張正彥,登記種類: ,,,基隆市政府,商業登記,,,,,,,,,
00403854,榮隆商行,基隆市仁愛區愛一路13號1樓,3500,1972-06-27,2014-10-30,核准設立 - 獨資 (核准文號: 1030002472),,營業人名稱: ,榮隆商行,,,基隆市政府,李榮次,登記種類: ,商業登記,營業地址: ,,,,,,
00657391,裕華蔴袋澱粉有限公司,基隆市仁愛區仁德里愛二路53號,1000000,1973-12-18,2016-05-03,核准設立,,營業人名稱: ,裕華蔴袋澱粉有限公司,,,經濟部中部辦公室,江曾愛珠,登記種類: ,公司登記,統一編號: ,,,,,,
00661992,曾芳玉香舖,基隆市仁愛區愛二路七Ｏ號,3000,1974-07-20,2020-04-15,核准設立 - 獨資 (核准文號: 1090000756),,營業人名稱: ,曾芳玉香舖,,,基隆市政府,曾永隆,登記種類: ,商業登記,營業地址: ,,,,,,
22429837,源隆貿易有限公司基隆分公司,基隆市仁愛區孝二路９６號,0,1987-03-25,1999-11-01,核准設立,張玉惠,登記種類: ,公司登記,,,,,,,,,,,,,
24805061,統一超商股份有限公司基隆市第九十二分公司,基隆市仁愛區仁二路84、86號1樓,0,2016-01-11,,核准設立,張耀銘,營業人名稱: ,統一超商股份有限公司基隆市第九十二分公司,,公司登記,,,,,,,,,,,
